mkt_unique_carrier,mkt_carrier,mkt_carrier_fl_num,op_unique_carrier,tail_num,op_carrier_fl_num,origin_airport_id,origin,dest_airport_id,dest,arr_delay,crs_elapsed_time,actual_elapsed_time,air_time,flights,distance,year,month,day_of_month,day_of_week,dep_hour_of_day,arr_hour_of_day,origin_state,destination_state,arr_delay_mean_by_mkt_unique_carrier,arr_delay_mean_by_op_unique_carrier,arr_delay_encoded,origin_dest_pair,quarter_Q1,quarter_Q2,quarter_Q3,quarter_Q4,dep_time_of_day_afternoon,dep_time_of_day_evening,dep_time_of_day_morning,dep_time_of_day_night,arr_time_of_day_afternoon,arr_time_of_day_evening,arr_time_of_day_morning,arr_time_of_day_night
8,8,3734,18,487,3734,14771,SFO,14869,SLC,-19.0,122,111.0,78.0,1,599,2018,3,18,6,15,18,CA,UT,10.231880437950128,7.3318759936407,0,SFO-SLC,1,0,0,0,1,0,0,0,0,1,0,0
0,0,1107,1,3169,1107,13891,ONT,11298,DFW,11.0,172,166.0,149.0,1,1188,2019,4,29,0,10,15,CA,TX,5.328595793064243,5.396409761887101,1,ONT-DFW,0,1,0,0,0,0,1,0,1,0,0,0
1,1,1681,20,1377,1681,14747,SEA,10713,BOI,32.0,84,108.0,91.0,1,399,2018,5,13,6,17,20,WA,ID,1.3057672946929382,5.02479815455594,1,SEA-BOI,0,1,0,0,0,1,0,0,0,1,0,0
3,3,3298,0,3338,3298,10868,CAE,10397,ATL,-8.0,75,61.0,41.0,1,192,2019,1,16,2,14,15,SC,GA,2.1440377343780463,-0.47032206547777505,0,CAE-ATL,1,0,0,0,1,0,0,0,1,0,0,0
3,3,3870,25,3153,3870,11042,CLE,13487,MSP,-14.0,153,121.0,100.0,1,622,2019,2,6,2,6,8,OH,MN,2.1440377343780463,2.0115089514066495,0,CLE-MSP,1,0,0,0,0,0,1,0,0,0,1,0
10,10,1481,23,587,1481,11193,CVG,13232,MDW,-6.0,70,65.0,43.0,1,249,2019,9,25,2,15,15,OH,IL,2.438349885408711,2.438349885408711,0,CVG-MDW,0,0,1,0,1,0,0,0,1,0,0,0
4,4,1338,10,497,1338,12391,ISP,13204,MCO,15.0,180,196.0,168.0,1,971,2018,1,17,2,6,9,NY,FL,5.444444444444445,5.444444444444445,1,ISP-MCO,1,0,0,0,0,0,1,0,0,0,1,0
0,0,3384,17,662,3384,13139,LYH,11057,CLT,-20.0,69,58.0,44.0,1,175,2018,8,10,4,11,12,VA,NC,5.328595793064243,6.229542483660131,0,LYH-CLT,0,0,1,0,0,0,1,0,1,0,0,0
8,8,2831,9,101,2831,12266,IAH,12915,LCH,-5.0,54,56.0,29.0,1,127,2019,3,6,2,10,11,TX,LA,10.231880437950128,14.747020376778167,0,IAH-LCH,1,0,0,0,0,0,1,0,0,0,1,0
3,3,1399,7,2725,1399,10397,ATL,13487,MSP,-24.0,167,143.0,123.0,1,907,2018,12,14,4,7,9,GA,MN,2.1440377343780463,-0.3018240950226244,0,ATL-MSP,0,0,0,1,0,0,1,0,0,0,1,0
0,0,2045,1,3899,2045,11298,DFW,14747,SEA,-7.0,250,245.0,219.0,1,1660,2018,8,30,3,20,23,TX,WA,5.328595793064243,5.396409761887101,0,DFW-SEA,0,0,1,0,0,1,0,0,0,1,0,0
8,8,2480,25,1992,2480,14193,PNS,12266,IAH,-15.0,111,99.0,80.0,1,489,2019,3,24,6,7,8,FL,TX,10.231880437950128,2.0115089514066495,0,PNS-IAH,1,0,0,0,0,0,1,0,0,0,1,0
10,10,1066,23,1159,1066,11697,FLL,14492,RDU,4.882352941176471,130,134.50487698354928,109.21307893970288,1,680,2018,12,9,6,14,17,FL,NC,2.438349885408711,2.438349885408711,1,FLL-RDU,0,0,0,1,1,0,0,0,0,1,0,0
