mkt_unique_carrier,mkt_carrier,mkt_carrier_fl_num,op_unique_carrier,tail_num,op_carrier_fl_num,origin_airport_id,origin,dest_airport_id,dest,arr_delay,crs_elapsed_time,actual_elapsed_time,air_time,flights,distance,year,month,day_of_month,day_of_week,dep_hour_of_day,arr_hour_of_day,origin_state,destination_state,arr_delay_mean_by_mkt_unique_carrier,arr_delay_mean_by_op_unique_carrier,arr_delay_encoded,origin_dest_pair,quarter_Q1,quarter_Q2,quarter_Q3,quarter_Q4,dep_time_of_day_afternoon,dep_time_of_day_evening,dep_time_of_day_morning,dep_time_of_day_night,arr_time_of_day_afternoon,arr_time_of_day_evening,arr_time_of_day_morning,arr_time_of_day_night
3,3,2150,7,3599,2150,10721,BOS,12953,LGA,-19.0,83,68.0,45.0,1,184,2019,6,14,4,6,7,MA,NY,2.1440377343780463,-0.3018240950226244,0,BOS-LGA,0,1,0,0,0,0,1,0,0,0,1,0
0,0,2195,18,2313,2195,12892,LAX,14570,RNO,-2.0,89,92.0,62.0,1,391,2019,3,15,4,13,15,CA,NV,5.328595793064243,7.3318759936407,0,LAX-RNO,1,0,0,0,1,0,0,0,1,0,0,0
1,1,7,2,1233,7,11618,EWR,14747,SEA,-11.0,373,370.0,348.0,1,2402,2018,4,13,4,17,20,NJ,WA,1.3057672946929382,1.3225882352941176,0,EWR-SEA,0,1,0,0,0,1,0,0,0,1,0,0
8,8,1337,21,2024,1337,12266,IAH,12892,LAX,-17.0,211,199.0,179.0,1,1379,2018,10,23,1,14,16,TX,CA,10.231880437950128,5.682458929517753,0,IAH-LAX,0,0,0,1,1,0,0,0,1,0,0,0
0,0,2377,15,2232,2377,10434,AVP,13930,ORD,24.0,142,162.0,139.0,1,632,2018,12,31,0,15,16,PA,IL,5.328595793064243,5.849722530521643,1,AVP-ORD,0,0,0,1,1,0,0,0,1,0,0,0
8,8,704,21,2180,704,14679,SAN,13930,ORD,-19.0,248,237.0,212.0,1,1723,2019,8,31,5,7,13,CA,IL,10.231880437950128,5.682458929517753,0,SAN-ORD,0,0,1,0,0,0,1,0,1,0,0,0
3,3,2721,18,624,2721,11298,DFW,13487,MSP,-14.0,157,138.0,120.0,1,852,2019,7,29,0,6,9,TX,MN,2.1440377343780463,7.3318759936407,0,DFW-MSP,0,0,1,0,0,0,1,0,0,0,1,0
0,0,3418,17,2281,3418,11057,CLT,14108,PIA,-18.0,125,113.0,95.0,1,607,2019,11,25,0,11,12,NC,IL,5.328595793064243,6.229542483660131,0,CLT-PIA,0,0,0,1,0,0,1,0,1,0,0,0
8,8,2904,9,253,2904,11042,CLE,11278,DCA,62.0,84,71.0,53.0,1,310,2018,2,2,4,20,21,OH,DC,10.231880437950128,14.747020376778167,1,CLE-DCA,1,0,0,0,0,1,0,0,0,1,0,0
0,0,2007,1,3335,2007,11298,DFW,10140,ABQ,5.0,105,100.0,82.0,1,569,2019,8,17,5,12,13,TX,NM,5.328595793064243,5.396409761887101,1,DFW-ABQ,0,0,1,0,1,0,0,0,1,0,0,0
8,8,2873,9,111,2873,14524,RIC,12266,IAH,-17.0,220,212.0,186.0,1,1157,2018,2,15,3,6,9,VA,TX,10.231880437950128,14.747020376778167,0,RIC-IAH,1,0,0,0,0,0,1,0,0,0,1,0
10,10,341,23,1246,341,13232,MDW,11433,DTW,55.0,70,67.0,41.0,1,228,2019,10,30,2,8,10,IL,MI,2.438349885408711,2.438349885408711,1,MDW-DTW,0,0,0,1,0,0,1,0,0,0,1,0
3,3,3003,18,595,3003,14747,SEA,10713,BOI,-2.0,87,91.0,63.0,1,399,2018,3,14,2,15,17,WA,ID,2.1440377343780463,7.3318759936407,0,SEA-BOI,1,0,0,0,1,0,0,0,0,1,0,0
10,10,331,23,2300,331,10693,BNA,15304,TPA,113.0,105,108.0,94.0,1,612,2019,2,13,2,9,12,TN,FL,2.438349885408711,2.438349885408711,1,BNA-TPA,1,0,0,0,0,0,1,0,1,0,0,0
3,3,2058,7,3376,2058,10397,ATL,13487,MSP,-9.0,164,136.0,121.0,1,907,2019,3,25,0,21,23,GA,MN,2.1440377343780463,-0.3018240950226244,0,ATL-MSP,1,0,0,0,0,1,0,0,0,1,0,0
0,0,2951,25,1183,2951,12953,LGA,10397,ATL,-25.0,159,141.0,120.0,1,762,2018,11,3,5,8,11,NY,GA,5.328595793064243,2.0115089514066495,0,LGA-ATL,0,0,0,1,0,0,1,0,0,0,1,0
3,3,476,7,3237,476,12478,JFK,10397,ATL,2.0,153,131.0,105.0,1,760,2019,3,12,1,13,15,NY,GA,2.1440377343780463,-0.3018240950226244,1,JFK-ATL,1,0,0,0,1,0,0,0,1,0,0,0
0,0,1691,1,3536,1691,14492,RDU,14100,PHL,4.882352941176471,81,134.50487698354928,109.21307893970288,1,337,2018,4,16,0,6,7,NC,PA,5.328595793064243,5.396409761887101,1,RDU-PHL,0,1,0,0,0,0,1,0,0,0,1,0
5,5,1604,11,22,1604,15070,SWF,14761,SFB,-15.0,177,157.0,138.0,1,965,2019,1,7,0,9,12,NY,FL,1.5098039215686274,1.5098039215686274,0,SWF-SFB,1,0,0,0,0,0,1,0,1,0,0,0
0,0,1085,1,3838,1085,13930,ORD,14057,PDX,7.0,279,275.0,240.0,1,1739,2019,12,3,1,10,12,IL,OR,5.328595793064243,5.396409761887101,1,ORD-PDX,0,0,0,1,0,0,1,0,1,0,0,0
9,9,1453,22,2002,1453,14771,SFO,12892,LAX,-18.0,97,82.0,54.0,1,337,2018,2,8,3,17,19,CA,CA,0.26666666666666666,0.26666666666666666,0,SFO-LAX,1,0,0,0,0,1,0,0,0,1,0,0
8,8,171,21,2785,171,11298,DFW,11292,DEN,-18.0,120,112.0,91.0,1,641,2018,7,7,5,6,7,TX,CO,10.231880437950128,5.682458929517753,0,DFW-DEN,0,0,1,0,0,0,1,0,0,0,1,0
3,3,3880,25,3143,3880,10721,BOS,10792,BUF,128.0,103,121.0,66.0,1,395,2019,4,26,4,14,16,MA,NY,2.1440377343780463,2.0115089514066495,1,BOS-BUF,0,1,0,0,1,0,0,0,1,0,0,0
0,0,3879,6,458,3879,12892,LAX,14679,SAN,-9.0,56,54.0,29.0,1,109,2019,2,26,1,9,10,CA,CA,5.328595793064243,17.384558823529414,0,LAX-SAN,1,0,0,0,0,0,1,0,0,0,1,0
0,0,3828,6,462,3828,12892,LAX,14831,SJC,8.0,79,65.0,51.0,1,308,2019,3,30,5,10,11,CA,CA,5.328595793064243,17.384558823529414,1,LAX-SJC,1,0,0,0,0,0,1,0,0,0,1,0
0,0,2959,25,1227,2959,13303,MIA,13198,MCI,-7.0,186,184.0,161.0,1,1251,2019,7,19,4,9,12,FL,MO,5.328595793064243,2.0115089514066495,0,MIA-MCI,0,0,1,0,0,0,1,0,1,0,0,0
3,3,2802,18,3476,2802,13487,MSP,12278,ICT,1.0,116,119.0,73.0,1,545,2018,7,9,0,11,13,MN,KS,2.1440377343780463,7.3318759936407,1,MSP-ICT,0,0,1,0,0,0,1,0,1,0,0,0
8,8,3043,3,93,3043,11637,FAR,11292,DEN,-22.0,118,104.0,89.0,1,627,2018,8,16,3,13,14,ND,CO,10.231880437950128,18.070422535211268,0,FAR-DEN,0,0,1,0,1,0,0,0,1,0,0,0
3,3,3507,0,809,3507,10721,BOS,14122,PIT,-4.0,106,110.0,69.0,1,496,2018,7,19,3,8,10,MA,PA,2.1440377343780463,-0.47032206547777505,0,BOS-PIT,0,0,1,0,0,0,1,0,0,0,1,0
8,8,3577,18,3788,3577,11986,GRR,13930,ORD,-19.0,76,57.0,32.0,1,137,2019,9,14,5,14,14,MI,IL,10.231880437950128,7.3318759936407,0,GRR-ORD,0,0,1,0,1,0,0,0,1,0,0,0
8,8,2841,9,141,2841,11618,EWR,11996,GSP,4.882352941176471,140,134.50487698354928,109.21307893970288,1,594,2019,4,30,1,8,10,NJ,SC,10.231880437950128,14.747020376778167,1,EWR-GSP,0,1,0,0,0,0,1,0,0,0,1,0
8,8,3812,18,3831,3812,14252,PSC,12892,LAX,-11.0,163,157.0,139.0,1,851,2019,9,3,1,16,19,WA,CA,10.231880437950128,7.3318759936407,0,PSC-LAX,0,0,1,0,1,0,0,0,0,1,0,0
10,10,528,23,2566,528,12892,LAX,14893,SMF,-22.0,90,72.0,60.0,1,373,2019,10,21,0,12,14,CA,CA,2.438349885408711,2.438349885408711,0,LAX-SMF,0,0,0,1,1,0,0,0,1,0,0,0
3,3,932,7,3915,932,10599,BHM,10397,ATL,-5.0,71,73.0,34.0,1,134,2019,9,15,6,18,20,AL,GA,2.1440377343780463,-0.3018240950226244,0,BHM-ATL,0,0,1,0,0,1,0,0,0,1,0,0
0,0,1486,1,2789,1486,11423,DSM,14107,PHX,-22.0,201,180.0,159.0,1,1150,2018,5,12,5,8,9,IA,AZ,5.328595793064243,5.396409761887101,0,DSM-PHX,0,1,0,0,0,0,1,0,0,0,1,0
10,10,3780,23,3622,3780,13244,MEM,13204,MCO,-20.0,115,102.0,92.0,1,684,2018,11,25,6,7,10,TN,FL,2.438349885408711,2.438349885408711,0,MEM-MCO,0,0,0,1,0,0,1,0,0,0,1,0
8,8,2876,9,96,2876,13377,MLU,12266,IAH,7.0,74,81.0,57.0,1,262,2018,10,14,6,16,17,LA,TX,10.231880437950128,14.747020376778167,1,MLU-IAH,0,0,0,1,1,0,0,0,0,1,0,0
10,10,1805,23,3003,1805,10529,BDL,11292,DEN,-4.0,275,267.0,253.0,1,1671,2019,10,24,3,13,16,CT,CO,2.438349885408711,2.438349885408711,0,BDL-DEN,0,0,0,1,1,0,0,0,1,0,0,0
8,8,3152,26,1441,3152,11986,GRR,13930,ORD,-19.0,72,58.0,34.0,1,137,2019,4,19,4,16,17,MI,IL,10.231880437950128,6.787037037037037,0,GRR-ORD,0,1,0,0,1,0,0,0,0,1,0,0
8,8,3727,18,73,3727,13930,ORD,10599,BHM,32.0,120,118.0,74.0,1,584,2018,3,13,1,19,21,IL,AL,10.231880437950128,7.3318759936407,1,ORD-BHM,1,0,0,0,0,1,0,0,0,1,0,0
3,3,2773,18,2709,2773,12266,IAH,13487,MSP,-5.0,169,168.0,146.0,1,1034,2019,6,13,3,14,17,TX,MN,2.1440377343780463,7.3318759936407,0,IAH-MSP,0,1,0,0,1,0,0,0,0,1,0,0
10,10,1813,23,2618,1813,14831,SJC,14908,SNA,-12.0,75,72.0,54.0,1,342,2018,12,12,2,12,13,CA,CA,2.438349885408711,2.438349885408711,0,SJC-SNA,0,0,0,1,1,0,0,0,1,0,0,0
10,10,814,23,2517,814,10713,BOI,11292,DEN,5.0,115,116.0,103.0,1,649,2019,5,28,1,13,15,ID,CO,2.438349885408711,2.438349885408711,1,BOI-DEN,0,1,0,0,1,0,0,0,1,0,0,0
10,10,889,23,1256,889,10792,BUF,15304,TPA,-14.0,155,141.0,133.0,1,1053,2019,8,14,2,7,9,NY,FL,2.438349885408711,2.438349885408711,0,BUF-TPA,0,0,1,0,0,0,1,0,0,0,1,0
3,3,1841,7,3859,1841,12478,JFK,13487,MSP,-5.0,200,195.0,165.0,1,1029,2019,12,7,5,11,13,NY,MN,2.1440377343780463,-0.3018240950226244,0,JFK-MSP,0,0,0,1,0,0,1,0,1,0,0,0
8,8,3911,24,2786,3911,12266,IAH,10599,BHM,-16.0,110,101.0,78.0,1,562,2019,9,15,6,14,16,TX,AL,10.231880437950128,11.298761609907121,0,IAH-BHM,0,0,1,0,1,0,0,0,1,0,0,0
0,0,3582,17,1584,3582,11278,DCA,14321,PWM,-5.0,93,98.0,72.0,1,482,2018,1,10,2,17,18,DC,ME,5.328595793064243,6.229542483660131,0,DCA-PWM,1,0,0,0,0,1,0,0,0,1,0,0
0,0,1512,1,1184,1512,13204,MCO,14107,PHX,-5.0,264,264.0,242.0,1,1849,2019,8,26,0,17,18,FL,AZ,5.328595793064243,5.396409761887101,0,MCO-PHX,0,0,1,0,0,1,0,0,0,1,0,0
9,9,1451,22,2036,1451,14771,SFO,12892,LAX,-3.0,90,91.0,55.0,1,337,2018,2,12,0,16,18,CA,CA,0.26666666666666666,0.26666666666666666,0,SFO-LAX,1,0,0,0,1,0,0,0,0,1,0,0
10,10,1530,23,549,1530,15016,STL,12278,ICT,-7.0,85,80.0,65.0,1,392,2019,3,19,1,10,11,MO,KS,2.438349885408711,2.438349885408711,0,STL-ICT,1,0,0,0,0,0,1,0,0,0,1,0
8,8,521,21,1414,521,13930,ORD,11292,DEN,-13.0,159,147.0,122.0,1,888,2018,10,21,6,7,9,IL,CO,10.231880437950128,5.682458929517753,0,ORD-DEN,0,0,0,1,0,0,1,0,0,0,1,0
10,10,1507,23,2607,1507,13232,MDW,13871,OMA,5.0,85,78.0,65.0,1,423,2019,12,5,3,18,20,IL,NE,2.438349885408711,2.438349885408711,1,MDW-OMA,0,0,0,1,0,1,0,0,0,1,0,0
8,8,3175,5,238,3175,12264,IAD,11042,CLE,144.0,79,106.0,57.0,1,288,2018,2,17,5,22,23,DC,OH,10.231880437950128,24.96,1,IAD-CLE,1,0,0,0,0,1,0,0,0,1,0,0
10,10,1593,23,2828,1593,15016,STL,13796,OAK,-18.0,270,255.0,241.0,1,1725,2018,11,30,4,13,16,MO,CA,2.438349885408711,2.438349885408711,0,STL-OAK,0,0,0,1,1,0,0,0,1,0,0,0
8,8,913,21,3214,913,14107,PHX,14771,SFO,-12.0,133,117.0,102.0,1,651,2018,1,27,5,12,13,AZ,CA,10.231880437950128,5.682458929517753,0,PHX-SFO,1,0,0,0,1,0,0,0,1,0,0,0
3,3,1515,7,3812,1515,14635,RSW,10397,ATL,-16.0,115,99.0,79.0,1,515,2019,12,25,2,12,14,FL,GA,2.1440377343780463,-0.3018240950226244,0,RSW-ATL,0,0,0,1,1,0,0,0,1,0,0,0
10,10,258,23,1372,258,15376,TUS,12889,LAS,-11.0,75,67.0,54.0,1,364,2018,4,26,3,6,7,AZ,NV,2.438349885408711,2.438349885408711,0,TUS-LAS,0,1,0,0,0,0,1,0,0,0,1,0
8,8,864,21,242,864,14771,SFO,10821,BWI,-38.0,306,278.0,257.0,1,2457,2018,10,29,0,21,5,CA,MD,10.231880437950128,5.682458929517753,0,SFO-BWI,0,0,0,1,0,1,0,0,0,0,0,1
0,0,2734,15,2121,2734,13930,ORD,11067,CMI,-8.0,50,41.0,27.0,1,135,2018,3,28,2,11,12,IL,IL,5.328595793064243,5.849722530521643,0,ORD-CMI,1,0,0,0,0,0,1,0,1,0,0,0
10,10,628,23,3061,628,14679,SAN,14893,SMF,11.0,90,81.0,70.0,1,480,2018,10,14,6,18,20,CA,CA,2.438349885408711,2.438349885408711,1,SAN-SMF,0,0,0,1,0,1,0,0,0,1,0,0
3,3,1642,7,3905,1642,13198,MCI,10397,ATL,-12.0,121,113.0,89.0,1,692,2018,3,11,6,7,10,MO,GA,2.1440377343780463,-0.3018240950226244,0,MCI-ATL,1,0,0,0,0,0,1,0,0,0,1,0
0,0,3314,17,666,3314,11278,DCA,12197,HPN,2.0,80,86.0,57.0,1,234,2018,10,21,6,17,18,DC,NY,5.328595793064243,6.229542483660131,1,DCA-HPN,0,0,0,1,0,1,0,0,0,1,0,0
0,0,3102,19,2082,3102,15096,SYR,11278,DCA,-4.0,80,80.0,57.0,1,298,2019,5,15,2,14,15,NY,DC,5.328595793064243,5.953181272509004,0,SYR-DCA,0,1,0,0,1,0,0,0,1,0,0,0
3,3,3784,25,461,3784,12953,LGA,11278,DCA,-7.0,88,83.0,45.0,1,214,2018,9,24,0,16,17,NY,DC,2.1440377343780463,2.0115089514066495,0,LGA-DCA,0,0,1,0,1,0,0,0,0,1,0,0
10,10,2356,23,2543,2356,13204,MCO,14100,PHL,36.0,145,138.0,115.0,1,861,2019,4,14,6,15,18,FL,PA,2.438349885408711,2.438349885408711,1,MCO-PHL,0,1,0,0,1,0,0,0,0,1,0,0
0,0,1039,1,3773,1039,11298,DFW,12339,IND,4.882352941176471,128,134.50487698354928,109.21307893970288,1,761,2018,5,20,6,14,17,TX,IN,5.328595793064243,5.396409761887101,1,DFW-IND,0,1,0,0,1,0,0,0,0,1,0,0
8,8,141,21,520,141,12016,GUM,12173,HNL,18.0,440,464.0,426.0,1,3801,2019,10,13,6,7,18,TT,HI,10.231880437950128,5.682458929517753,1,GUM-HNL,0,0,0,1,0,0,1,0,0,1,0,0
3,3,1335,7,1822,1335,14771,SFO,10397,ATL,30.0,275,297.0,247.0,1,2139,2018,5,14,0,23,6,CA,GA,2.1440377343780463,-0.3018240950226244,1,SFO-ATL,0,1,0,0,0,1,0,0,0,0,1,0
3,3,3932,12,2097,3932,14492,RDU,11618,EWR,-4.0,107,112.0,61.0,1,416,2018,5,6,6,19,21,NC,NJ,2.1440377343780463,13.775,0,RDU-EWR,0,1,0,0,0,1,0,0,0,1,0,0
8,8,3511,18,194,3511,14771,SFO,13198,MCI,33.0,224,212.0,176.0,1,1499,2018,9,9,6,13,19,CA,MO,10.231880437950128,7.3318759936407,1,SFO-MCI,0,0,1,0,1,0,0,0,0,1,0,0
0,0,2160,18,2269,2160,10693,BNA,13930,ORD,-3.0,108,114.0,70.0,1,409,2019,11,23,5,11,13,TN,IL,5.328595793064243,7.3318759936407,0,BNA-ORD,0,0,0,1,0,0,1,0,1,0,0,0
1,1,341,2,1470,341,14679,SAN,14747,SEA,-20.0,168,158.0,135.0,1,1050,2018,7,8,6,17,20,CA,WA,1.3057672946929382,1.3225882352941176,0,SAN-SEA,0,0,1,0,0,1,0,0,0,1,0,0
8,8,3501,18,179,3501,14570,RNO,11292,DEN,4.0,133,141.0,117.0,1,804,2018,12,26,2,18,21,NV,CO,10.231880437950128,7.3318759936407,1,RNO-DEN,0,0,0,1,0,1,0,0,0,1,0,0
0,0,2557,15,3550,2557,11775,FSD,13930,ORD,-21.0,104,91.0,65.0,1,462,2018,9,11,1,19,21,SD,IL,5.328595793064243,5.849722530521643,0,FSD-ORD,0,0,1,0,0,1,0,0,0,1,0,0
10,10,2133,23,2531,2133,11259,DAL,10140,ABQ,68.0,110,112.0,95.0,1,580,2018,4,22,6,8,8,TX,NM,2.438349885408711,2.438349885408711,1,DAL-ABQ,0,1,0,0,0,0,1,0,0,0,1,0
3,3,3109,18,1880,3109,13487,MSP,11986,GRR,-13.0,103,92.0,63.0,1,408,2018,1,30,1,9,12,MN,MI,2.1440377343780463,7.3318759936407,0,MSP-GRR,1,0,0,0,0,0,1,0,1,0,0,0
3,3,3044,18,1496,3044,10469,AZO,11433,DTW,-20.0,60,47.0,31.0,1,113,2018,8,20,0,13,14,MI,MI,2.1440377343780463,7.3318759936407,0,AZO-DTW,0,0,1,0,1,0,0,0,1,0,0,0
0,0,3871,6,499,3871,11540,ELP,12892,LAX,1111.0,137,131.0,108.0,1,715,2018,6,6,2,6,7,TX,CA,5.328595793064243,17.384558823529414,1,ELP-LAX,0,1,0,0,0,0,1,0,0,0,1,0
3,3,1305,7,3530,1305,11433,DTW,13342,MKE,-25.0,93,68.0,51.0,1,237,2018,12,14,4,16,16,MI,WI,2.1440377343780463,-0.3018240950226244,0,DTW-MKE,0,0,0,1,1,0,0,0,1,0,0,0
0,0,1663,1,3453,1663,14869,SLC,11298,DFW,-6.0,159,147.0,122.0,1,989,2019,10,7,0,7,11,UT,TX,5.328595793064243,5.396409761887101,0,SLC-DFW,0,0,0,1,0,0,1,0,0,0,1,0
10,10,950,23,2536,950,13871,OMA,13232,MDW,-11.0,90,83.0,65.0,1,423,2019,9,6,4,12,14,NE,IL,2.438349885408711,2.438349885408711,0,OMA-MDW,0,0,1,0,1,0,0,0,1,0,0,0
8,8,2850,9,262,2850,11203,CWA,13930,ORD,52.0,76,138.0,43.0,1,213,2018,5,21,0,5,7,WI,IL,10.231880437950128,14.747020376778167,1,CWA-ORD,0,1,0,0,0,0,0,1,0,0,1,0
3,3,1267,7,2994,1267,10529,BDL,10397,ATL,10.0,161,163.0,136.0,1,859,2018,10,11,3,17,20,CT,GA,2.1440377343780463,-0.3018240950226244,1,BDL-ATL,0,0,0,1,0,1,0,0,0,1,0,0
3,3,1740,7,3743,1740,14771,SFO,12892,LAX,80.0,95,104.0,60.0,1,337,2018,5,10,3,12,14,CA,CA,2.1440377343780463,-0.3018240950226244,1,SFO-LAX,0,1,0,0,1,0,0,0,1,0,0,0
3,3,859,7,3804,859,13495,MSY,10397,ATL,42.0,86,91.0,58.0,1,425,2019,12,21,5,9,11,LA,GA,2.1440377343780463,-0.3018240950226244,1,MSY-ATL,0,0,0,1,0,0,1,0,0,0,1,0
3,3,753,7,3629,753,10397,ATL,11433,DTW,10.0,114,126.0,88.0,1,594,2018,5,2,2,13,15,GA,MI,2.1440377343780463,-0.3018240950226244,1,ATL-DTW,0,1,0,0,1,0,0,0,1,0,0,0
0,0,3066,25,1295,3066,14321,PWM,11278,DCA,-1.0,113,115.0,93.0,1,482,2019,11,14,3,12,13,ME,DC,5.328595793064243,2.0115089514066495,0,PWM-DCA,0,0,0,1,1,0,0,0,1,0,0,0
7,7,254,16,1910,254,13577,MYR,10158,ACY,5.0,80,86.0,71.0,1,466,2018,3,3,5,21,23,SC,NJ,7.195728291316527,7.195728291316527,1,MYR-ACY,1,0,0,0,0,1,0,0,0,1,0,0
3,3,3274,0,793,3274,10397,ATL,13367,MLI,-14.0,124,115.0,89.0,1,633,2019,2,5,1,9,10,GA,IL,2.1440377343780463,-0.47032206547777505,0,ATL-MLI,1,0,0,0,0,0,1,0,0,0,1,0
3,3,2840,18,3200,2840,10631,BJI,13487,MSP,-12.0,66,63.0,40.0,1,199,2019,8,15,3,13,14,MN,MN,2.1440377343780463,7.3318759936407,0,BJI-MSP,0,0,1,0,1,0,0,0,1,0,0,0
8,8,3015,3,493,3015,10627,BIS,11292,DEN,-2.0,114,110.0,81.0,1,516,2019,7,10,2,14,15,ND,CO,10.231880437950128,18.070422535211268,0,BIS-DEN,0,0,1,0,1,0,0,0,1,0,0,0
1,1,2375,18,1166,2375,14679,SAN,14831,SJC,-14.0,102,97.0,79.0,1,417,2019,11,29,4,10,12,CA,CA,1.3057672946929382,7.3318759936407,0,SAN-SJC,0,0,0,1,0,0,1,0,1,0,0,0
10,10,107,23,3506,107,14679,SAN,12889,LAS,0.0,75,72.0,54.0,1,258,2019,12,18,2,16,17,CA,NV,2.438349885408711,2.438349885408711,0,SAN-LAS,0,0,0,1,1,0,0,0,0,1,0,0
8,8,1551,21,2247,1551,14771,SFO,14057,PDX,0.0,111,118.0,84.0,1,550,2019,9,24,1,13,15,CA,OR,10.231880437950128,5.682458929517753,0,SFO-PDX,0,0,1,0,1,0,0,0,1,0,0,0
4,4,70,10,903,70,13204,MCO,13930,ORD,-29.0,197,178.0,151.0,1,1005,2019,12,9,0,7,9,FL,IL,5.444444444444445,5.444444444444445,0,MCO-ORD,0,0,0,1,0,0,1,0,0,0,1,0
8,8,1468,21,1409,1468,13930,ORD,11066,CMH,-20.0,80,63.0,47.0,1,296,2018,10,26,4,14,17,IL,OH,10.231880437950128,5.682458929517753,0,ORD-CMH,0,0,0,1,1,0,0,0,0,1,0,0
10,10,2297,23,3589,2297,10800,BUR,13796,OAK,-9.0,75,69.0,53.0,1,325,2018,11,4,6,9,11,CA,CA,2.438349885408711,2.438349885408711,0,BUR-OAK,0,0,0,1,0,0,1,0,0,0,1,0
1,1,745,2,817,745,14747,SEA,13796,OAK,-9.0,125,121.0,98.0,1,672,2019,10,3,3,16,18,WA,CA,1.3057672946929382,1.3225882352941176,0,SEA-OAK,0,0,0,1,1,0,0,0,0,1,0,0
10,10,1393,23,2323,1393,10397,ATL,15304,TPA,-16.0,90,75.0,63.0,1,406,2019,6,27,3,13,15,GA,FL,2.438349885408711,2.438349885408711,0,ATL-TPA,0,1,0,0,1,0,0,0,1,0,0,0
3,3,1092,7,1772,1092,13487,MSP,14747,SEA,-19.0,229,208.0,187.0,1,1399,2019,3,17,6,18,19,MN,WA,2.1440377343780463,-0.3018240950226244,0,MSP-SEA,1,0,0,0,0,1,0,0,0,1,0,0
8,8,2595,26,1369,2595,13485,MSN,13930,ORD,98.0,60,79.0,27.0,1,108,2018,3,6,1,9,10,WI,IL,10.231880437950128,6.787037037037037,1,MSN-ORD,1,0,0,0,0,0,1,0,0,0,1,0
0,0,3027,25,126,3027,13487,MSP,11278,DCA,-27.0,155,135.0,115.0,1,931,2019,4,23,1,12,15,MN,DC,5.328595793064243,2.0115089514066495,0,MSP-DCA,0,1,0,0,1,0,0,0,1,0,0,0
8,8,3632,18,3757,3632,13930,ORD,12339,IND,-1.0,73,75.0,33.0,1,177,2019,8,15,3,14,16,IL,IN,10.231880437950128,7.3318759936407,0,ORD-IND,0,0,1,0,1,0,0,0,1,0,0,0
10,10,1767,23,1291,1767,13232,MDW,14307,PVD,-10.0,125,115.0,95.0,1,842,2018,10,17,2,7,10,IL,RI,2.438349885408711,2.438349885408711,0,MDW-PVD,0,0,0,1,0,0,1,0,0,0,1,0
3,3,1999,7,967,1999,14027,PBI,12953,LGA,-26.0,179,158.0,139.0,1,1035,2018,6,17,6,19,22,FL,NY,2.1440377343780463,-0.3018240950226244,0,PBI-LGA,0,1,0,0,0,1,0,0,0,1,0,0
7,7,537,16,2098,537,14057,PDX,12889,LAS,-26.0,129,111.0,98.0,1,763,2018,10,24,2,13,15,OR,NV,7.195728291316527,7.195728291316527,0,PDX-LAS,0,0,0,1,1,0,0,0,1,0,0,0
2,2,273,4,1001,273,15096,SYR,10721,BOS,-22.0,73,62.0,42.0,1,265,2019,3,11,0,5,6,NY,MA,6.360829389226956,6.360829389226956,0,SYR-BOS,1,0,0,0,0,0,0,1,0,0,1,0
8,8,3190,5,99,3190,14711,SCE,12264,IAD,91.0,61,46.0,28.0,1,133,2018,8,15,2,6,7,PA,DC,10.231880437950128,24.96,1,SCE-IAD,0,0,1,0,0,0,1,0,0,0,1,0
0,0,3697,24,610,3697,13158,MAF,11298,DFW,-13.0,81,74.0,53.0,1,309,2019,8,8,3,12,13,TX,TX,5.328595793064243,11.298761609907121,0,MAF-DFW,0,0,1,0,1,0,0,0,1,0,0,0
1,1,1923,20,1927,1923,14771,SFO,14908,SNA,-20.0,95,81.0,66.0,1,372,2019,4,21,6,15,17,CA,CA,1.3057672946929382,5.02479815455594,0,SFO-SNA,0,1,0,0,1,0,0,0,0,1,0,0
3,3,3797,25,3097,3797,11278,DCA,12953,LGA,-15.0,91,81.0,46.0,1,214,2019,5,6,0,18,20,DC,NY,2.1440377343780463,2.0115089514066495,0,DCA-LGA,0,1,0,0,0,1,0,0,0,1,0,0
10,10,557,23,2514,557,11259,DAL,10279,AMA,-2.0,65,62.0,50.0,1,323,2018,8,7,1,21,22,TX,TX,2.438349885408711,2.438349885408711,0,DAL-AMA,0,0,1,0,0,1,0,0,0,1,0,0
3,3,2742,0,778,2742,15919,XNA,10397,ATL,48.0,113,108.0,85.0,1,589,2018,6,18,0,12,15,AR,GA,2.1440377343780463,-0.47032206547777505,1,XNA-ATL,0,1,0,0,1,0,0,0,1,0,0,0
0,0,2643,15,3349,2643,13930,ORD,13367,MLI,-20.0,54,47.0,25.0,1,139,2019,3,21,3,17,18,IL,IL,5.328595793064243,5.849722530521643,0,ORD-MLI,1,0,0,0,0,1,0,0,0,1,0,0
1,1,409,2,1169,409,12892,LAX,14747,SEA,4.882352941176471,175,134.50487698354928,109.21307893970288,1,954,2018,10,20,5,8,11,CA,WA,1.3057672946929382,1.3225882352941176,1,LAX-SEA,0,0,0,1,0,0,1,0,0,0,1,0
8,8,761,21,715,761,12892,LAX,12402,ITO,65.0,345,364.0,339.0,1,2449,2018,3,7,2,16,20,CA,HI,10.231880437950128,5.682458929517753,1,LAX-ITO,1,0,0,0,1,0,0,0,0,1,0,0
