month,airline_id,unique_carrier,carrier,carrier_name,carrier_group_new,sdomt_gallons,satl_gallons,spac_gallons,slat_gallons,sint_gallons,ts_gallons,tdomt_gallons,tint_gallons,total_gallons,sdomt_cost,satl_cost,spac_cost,slat_cost,sint_cost,ts_cost,tdomt_cost,tint_cost,total_cost,year
9,20372.0,KLQ,KLQ,Kalitta Charters II,1,0.0,0.0,0.0,0.0,0.0,0.0,151052.0,71643.0,222695.0,0,0.0,0.0,0.0,0.0,0,426572,202628.0,629200,2018
3,19690.0,HA,HA,Hawaiian Airlines Inc.,3,15390145.0,0.0,7419967.0,0.0,7419967.0,22810112.0,15390145.0,7419967.0,22810112.0,30024860,0.0,14645936.0,0.0,14645936.0,44670796,30024860,14645936.0,44670796,2018
5,20310.0,WL,K8,"Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines",1,0.0,0.0,0.0,0.0,0.0,0.0,38284.0,21030.0,59314.0,0,0.0,0.0,0.0,0.0,0,99177,54479.0,153656,2016
2,21171.0,VX,VX,Virgin America,3,13185878.0,0.0,0.0,155185.0,155185.0,13341063.0,13261960.0,155185.0,13417145.0,13508081,0.0,0.0,186349.0,186349.0,13694430,13603946,186349.0,13790295,2016
3,20436.0,F9,F9,Frontier Airlines Inc.,3,12957801.0,0.0,0.0,2347330.0,2347330.0,15305131.0,13012731.0,2352242.0,15364973.0,25635507,0.0,0.0,4959037.0,4959037.0,30594544,25754714,4968657.0,30723371,2015
3,19790.0,DL,DL,Delta Air Lines Inc.,3,149445127.0,56808818.0,42639870.0,31588684.0,131037372.0,280482499.0,150807913.0,131902531.0,282710444.0,394715231,150043741.0,112620643.0,83432192.0,346096576.0,740811807,398876443,348381638.0,747258081,2015
6,20046.0,ZW,ZW,Air Wisconsin Airlines Corp,2,6925613.0,0.0,0.0,0.0,0.0,6925613.0,6925613.0,0.0,6925613.0,14090303,0.0,0.0,0.0,0.0,14090303,14090303,0.0,14090303,2015
11,20366.0,EV,EV,ExpressJet Airlines Inc.,3,85810.0,0.0,0.0,0.0,0.0,85810.0,85810.0,0.0,85810.0,218525,0.0,0.0,0.0,0.0,218525,218525,0.0,218525,2016
12,21492.0,1BQ,1BQ,"Dynamic Airways, LLC",1,0.0,0.0,0.0,0.0,0.0,0.0,12355.0,288132.0,300487.0,0,0.0,0.0,0.0,0.0,0,40825,954917.0,995742,2016
7,20308.0,WE,WE,Centurion Cargo Inc.,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1457996.0,1457996.0,0,0.0,0.0,0.0,0.0,0,0,2814939.0,2814939,2015
