fl_date,mkt_unique_carrier,branded_code_share,mkt_carrier,mkt_carrier_fl_num,op_unique_carrier,tail_num,op_carrier_fl_num,origin_airport_id,origin,origin_city_name,dest_airport_id,dest,dest_city_name,crs_dep_time,dep_time,dep_delay,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,cancelled,cancellation_code,diverted,dup,crs_elapsed_time,actual_elapsed_time,air_time,flights,distance,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,first_dep_time,total_add_gtime,longest_add_gtime,no_name
2019-12-26,DL,DL,DL,2244,DL,N540US,2244,10397,ATL,"Atlanta, GA",11433,DTW,"Detroit, MI",1349,1347.0,-2.0,19.0,1406.0,1528.0,7.0,1547,1535.0,-12.0,0,,0,N,118,108.0,82.0,1,594,,,,,,,,,
2018-05-15,UA,UA_CODESHARE,UA,4647,AX,N18114,4647,10279,AMA,"Amarillo, TX",11292,DEN,"Denver, CO",635,720.0,45.0,17.0,737.0,731.0,13.0,658,744.0,46.0,0,,0,N,83,84.0,54.0,1,359,0.0,0.0,46.0,0.0,0.0,,,,
2019-09-08,DL,DL_CODESHARE,DL,3968,OO,N611SK,3968,13487,MSP,"Minneapolis, MN",11337,DLH,"Duluth, MN",1140,1131.0,-9.0,17.0,1148.0,1218.0,4.0,1240,1222.0,-18.0,0,,0,N,60,51.0,30.0,1,144,,,,,,,,,
2019-07-25,DL,DL,DL,2106,DL,N906DE,2106,13198,MCI,"Kansas City, MO",10397,ATL,"Atlanta, GA",1000,954.0,-6.0,13.0,1007.0,1239.0,9.0,1303,1248.0,-15.0,0,,0,N,123,114.0,92.0,1,692,,,,,,,,,
2019-07-01,B6,B6,B6,1736,B6,N580JB,1736,13487,MSP,"Minneapolis, MN",10721,BOS,"Boston, MA",1702,1659.0,-3.0,10.0,1709.0,2021.0,6.0,2051,2027.0,-24.0,0,,0,N,169,148.0,132.0,1,1124,,,,,,,,,
2018-10-21,UA,UA_CODESHARE,UA,5618,OO,N128SY,5618,13930,ORD,"Chicago, IL",15016,STL,"St. Louis, MO",1443,1518.0,35.0,36.0,1554.0,1641.0,6.0,1557,1647.0,50.0,0,,0,N,74,89.0,47.0,1,258,35.0,0.0,15.0,0.0,0.0,,,,
2019-08-25,AA,AA,AA,584,AA,N995NN,584,14107,PHX,"Phoenix, AZ",10821,BWI,"Baltimore, MD",2205,2201.0,-4.0,14.0,2215.0,510.0,5.0,528,515.0,-13.0,0,,0,N,263,254.0,235.0,1,1999,,,,,,,,,
2018-09-27,NK,NK,NK,303,NK,N685NK,303,10158,ACY,"Atlantic City, NJ",13204,MCO,"Orlando, FL",1832,1826.0,-6.0,9.0,1835.0,2033.0,47.0,2052,2120.0,28.0,0,,0,N,140,174.0,118.0,1,852,0.0,0.0,28.0,0.0,0.0,,,,
2019-03-08,AA,AA,AA,178,AA,N929NN,178,14027,PBI,"West Palm Beach/Palm Beach, FL",13930,ORD,"Chicago, IL",1142,1150.0,8.0,22.0,1212.0,1420.0,16.0,1410,1436.0,26.0,0,,0,N,208,226.0,188.0,1,1143,0.0,0.0,18.0,0.0,8.0,,,,
2018-08-30,DL,DL,DL,1061,DL,N6711M,1061,12892,LAX,"Los Angeles, CA",13204,MCO,"Orlando, FL",1000,1002.0,2.0,19.0,1021.0,1746.0,9.0,1809,1755.0,-14.0,0,,0,N,309,293.0,265.0,1,2218,,,,,,,,,
