"fl_date","mkt_unique_carrier","branded_code_share","mkt_carrier","mkt_carrier_fl_num","op_unique_carrier","tail_num","op_carrier_fl_num","origin_airport_id","origin","origin_city_name","dest_airport_id","dest","dest_city_name","crs_dep_time","dep_time","dep_delay","taxi_out","wheels_off","wheels_on","taxi_in","crs_arr_time","arr_time","arr_delay","cancelled","cancellation_code","diverted","dup","crs_elapsed_time","actual_elapsed_time","air_time","flights","distance","carrier_delay","weather_delay","nas_delay","security_delay","late_aircraft_delay","first_dep_time","total_add_gtime","longest_add_gtime","no_name"
"2019-07-27","B6","B6","B6",416,"B6","N986JB",416,14771,"SFO","San Francisco, CA",12478,"JFK","New York, NY",1112,1103,-9,31,1134,1940,15,2009,1955,-14,0,NULL,0,"N",357,352,306,1,2586,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2019-03-19","DL","DL_CODESHARE","DL",3383,"9E","N297PQ",3383,12953,"LGA","New York, NY",15016,"STL","St. Louis, MO",1428,1424,-4,18,1442,1601,6,1624,1607,-17,0,NULL,0,"N",176,163,139,1,888,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-03-17","G4","G4","G4",2123,"G4","311NV",2123,11775,"FSD","Sioux Falls, SD",10466,"AZA","Phoenix, AZ",2231,2240,9,11,2251,2331,8,2320,2339,19,0,NULL,0,"N",169,179,160,1,1072,2,0,10,0,7,NULL,NULL,NULL,NULL
"2018-05-03","WN","WN","WN",1955,"WN","N8687A",1955,11292,"DEN","Denver, CO",13204,"MCO","Orlando, FL",1035,1209,94,16,1225,1729,7,1610,1736,86,0,NULL,0,"N",215,207,184,1,1546,0,0,25,0,61,NULL,NULL,NULL,NULL
"2019-06-24","UA","UA_CODESHARE","UA",5609,"OO","N786SK",5609,12266,"IAH","Houston, TX",10140,"ABQ","Albuquerque, NM",1205,1200,-5,36,1236,1326,3,1313,1329,16,0,NULL,0,"N",128,149,110,1,744,0,0,16,0,0,NULL,NULL,NULL,NULL
"2018-06-29","AA","AA","AA",2541,"AA","N988NN",2541,13930,"ORD","Chicago, IL",11697,"FLL","Fort Lauderdale, FL",1835,2005,90,13,2018,2352,4,2238,2356,78,0,NULL,0,"N",183,171,154,1,1182,26,0,29,0,23,NULL,NULL,NULL,NULL
"2018-03-16","DL","DL_CODESHARE","DL",6255,"G7","N185GJ",6255,10792,"BUF","Buffalo, NY",11433,"DTW","Detroit, MI",1533,1530,-3,12,1542,1620,6,1644,1626,-18,0,NULL,0,"N",71,56,38,1,241,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-05-13","AS","AS","AS",82,"AS","N403AS",82,10299,"ANC","Anchorage, AK",14747,"SEA","Seattle, WA",225,252,27,26,318,717,8,648,725,37,0,NULL,0,"N",203,213,179,1,1448,27,0,10,0,0,NULL,NULL,NULL,NULL
"2018-08-21","AA","AA_CODESHARE","AA",4846,"PT","N637AE",4846,14574,"ROA","Roanoke, VA",14100,"PHL","Philadelphia, PA",1528,1521,-7,22,1543,1636,8,1654,1644,-10,0,NULL,0,"N",86,83,53,1,311,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-07-19","DL","DL","DL",785,"DL","N921DN",785,14100,"PHL","Philadelphia, PA",11433,"DTW","Detroit, MI",1725,1725,0,15,1740,1853,6,1918,1859,-19,0,NULL,0,"N",113,94,73,1,453,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-07-26","UA","UA","UA",619,"UA","N75853",619,14747,"SEA","Seattle, WA",13930,"ORD","Chicago, IL",2320,48,88,20,108,618,14,454,632,98,0,NULL,0,"N",214,224,190,1,1721,0,0,10,0,88,NULL,NULL,NULL,NULL
"2018-04-11","WN","WN","WN",244,"WN","N700GS",244,10693,"BNA","Nashville, TN",15016,"STL","St. Louis, MO",850,852,2,8,900,947,4,955,951,-4,0,NULL,0,"N",65,59,47,1,272,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2019-06-20","AA","AA_CODESHARE","AA",5987,"YV","N920FJ",5987,11298,"DFW","Dallas/Fort Worth, TX",10140,"ABQ","Albuquerque, NM",718,741,23,19,800,822,4,804,826,22,0,NULL,0,"N",106,105,82,1,569,22,0,0,0,0,NULL,NULL,NULL,NULL
"2018-05-12","AA","AA","AA",1974,"AA","N823AW",1974,11423,"DSM","Des Moines, IA",14107,"PHX","Phoenix, AZ",800,759,-1,15,814,853,6,921,859,-22,0,NULL,0,"N",201,180,159,1,1150,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2019-11-30","UA","UA_CODESHARE","UA",5491,"OO","N200SY",5491,12892,"LAX","Los Angeles, CA",10713,"BOI","Boise, ID",1125,1124,-1,22,1146,1418,38,1440,1456,16,0,NULL,0,"N",135,152,92,1,674,0,0,16,0,0,NULL,NULL,NULL,NULL
"2018-11-13","DL","DL","DL",1104,"DL","N988DN",1104,11292,"DEN","Denver, CO",14747,"SEA","Seattle, WA",640,639,-1,13,652,819,8,856,827,-29,0,NULL,0,"N",196,168,147,1,1024,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2019-08-28","B6","B6","B6",508,"B6","N193JB",508,12478,"JFK","New York, NY",14321,"PWM","Portland, ME",1029,1024,-5,13,1037,1124,3,1145,1127,-18,0,NULL,0,"N",76,63,47,1,273,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-01-31","AA","AA_CODESHARE","AA",3135,"OO","N750SK",3135,13930,"ORD","Chicago, IL",13198,"MCI","Kansas City, MO",1010,1005,-5,35,1040,1155,3,1148,1158,10,0,"",0,"N",98,113,75,1,403,NULL,NULL,NULL,NULL,NULL,"",NULL,NULL,NULL
"2019-10-11","AA","AA_CODESHARE","AA",5828,"YV","N951LR",5828,10599,"BHM","Birmingham, AL",11298,"DFW","Dallas/Fort Worth, TX",1455,1640,105,23,1703,1839,8,1700,1847,107,0,NULL,0,"N",125,127,96,1,597,0,0,2,0,105,NULL,NULL,NULL,NULL
"2018-09-05","WN","WN","WN",1593,"WN","N279WN",1593,14831,"SJC","San Jose, CA",14908,"SNA","Santa Ana, CA",1340,1337,-3,14,1351,1449,3,1455,1452,-3,0,NULL,0,"N",75,75,58,1,342,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-08-06","UA","UA_CODESHARE","UA",5719,"OO","N870AS",5719,11292,"DEN","Denver, CO",11603,"EUG","Eugene, OR",1226,1220,-6,14,1234,1400,5,1418,1405,-13,0,NULL,0,"N",172,165,146,1,996,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2019-07-09","AA","AA_CODESHARE","AA",4719,"PT","N692AE",4719,11057,"CLT","Charlotte, NC",13139,"LYH","Lynchburg, VA",1634,1645,11,30,1715,1748,3,1750,1751,1,0,NULL,0,"N",76,66,33,1,175,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-10-12","AA","AA","AA",2595,"AA","N392AN",2595,14100,"PHL","Philadelphia, PA",13303,"MIA","Miami, FL",1745,1759,14,24,1823,2048,7,2051,2055,4,0,NULL,0,"N",186,176,145,1,1013,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2019-04-13","UA","UA_CODESHARE","UA",6160,"YV","N89321",6160,12266,"IAH","Houston, TX",14683,"SAT","San Antonio, TX",1705,1928,143,22,1950,2029,4,1807,2033,146,0,NULL,0,"N",62,65,39,1,191,0,0,0,0,146,NULL,NULL,NULL,NULL
"2018-08-16","F9","F9","F9",1713,"F9","N708FR",1713,14492,"RDU","Raleigh/Durham, NC",13204,"MCO","Orlando, FL",1724,1724,0,15,1739,1855,7,1904,1902,-2,0,NULL,0,"N",100,98,76,1,534,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2019-10-03","WN","WN","WN",1794,"WN","N8541W",1794,13495,"MSY","New Orleans, LA",14679,"SAN","San Diego, CA",825,824,-1,11,835,950,3,1015,953,-22,0,NULL,0,"N",230,209,195,1,1599,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2019-11-29","UA","UA_CODESHARE","UA",4488,"EV","N12563",4488,12266,"IAH","Houston, TX",12896,"LBB","Lubbock, TX",1845,607,682,12,619,731,5,2030,736,666,0,NULL,0,"N",105,89,72,1,458,0,666,0,0,0,NULL,NULL,NULL,NULL
"2019-02-20","AA","AA","AA",1788,"AA","N558UW",1788,12953,"LGA","New York, NY",11057,"CLT","Charlotte, NC",1130,1143,13,16,1159,1339,10,1345,1349,4,0,NULL,0,"N",135,126,100,1,544,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-06-18","WN","WN","WN",677,"WN","N725SW",677,13495,"MSY","New Orleans, LA",12889,"LAS","Las Vegas, NV",2125,2158,33,14,2212,2332,4,2255,2336,41,0,NULL,0,"N",210,218,200,1,1500,0,0,8,0,33,NULL,NULL,NULL,NULL
"2019-10-21","WN","WN","WN",635,"WN","N499WN",635,13495,"MSY","New Orleans, LA",11292,"DEN","Denver, CO",1910,1948,38,5,1953,2125,8,2055,2133,38,0,NULL,0,"N",165,165,152,1,1062,22,0,0,0,16,NULL,NULL,NULL,NULL
"2018-10-30","DL","DL","DL",1785,"DL","N997AT",1785,13930,"ORD","Chicago, IL",13487,"MSP","Minneapolis, MN",1258,1250,-8,16,1306,1405,3,1424,1408,-16,0,NULL,0,"N",86,78,59,1,334,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-12-03","WN","WN","WN",877,"WN","N8532S",877,14679,"SAN","San Diego, CA",13198,"MCI","Kansas City, MO",1035,1050,15,23,1113,1538,6,1540,1544,4,0,NULL,0,"N",185,174,145,1,1334,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
